component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Conditional,(Intercept),-4.2045,1.0353,-4.0612,0,-6.2336,-2.1754
Conditional,eventhurricane,-0.6948,0.6323,-1.099,0.2718,-1.934,0.5444
Conditional,timingpost,0.2562,0.7145,0.3586,0.7199,-1.1441,1.6566
Conditional,ciimpact,0.3783,0.3431,1.1026,0.2702,-0.2942,1.0509
Conditional,eventhurricane:timingpost,-0.6883,0.8415,-0.818,0.4134,-2.3377,0.961
Zero-inflation,(Intercept),-8.8033,1.3138,-6.7006,0,-11.3783,-6.2283
Zero-inflation,eventhurricane,-0.722,1.5426,-0.4681,0.6397,-3.7455,2.3015
Zero-inflation,timingpost,-1.3267,1.696,-0.7823,0.4341,-4.6508,1.9974
Zero-inflation,ciimpact,1.1386,0.6215,1.832,0.0669,-0.0795,2.3566
Zero-inflation,eventhurricane:timingpost,1.7821,2.0973,0.8497,0.3955,-2.3286,5.8927
